id_publicacao,Duração,Visualizações,Tempo de exibição (horas),Taxa de cliques de impressões (%),Continuaram assistindo (%),Inscritos,sucesso
"Quero saber: Afinal de contas, quem causa a febre maculosa?",886.0,37,1.9923,6.05,,0,0
Eleição de representantes do CoGePe - Constituição das Urnas,993.0,31,1.9844,1.41,,0,0
VOCÊ NA UFSCAR – CONHEÇA OS CURSOS DA FEDERAL,80.0,154,1.9412,5.22,,0,0
UFSCar de Todos os Povos - Etnia Atikum,172.0,87,1.9359,3.93,,2,0
"Ciência UFSCar - Crise hídrica e matriz energética: Brasil em 2001, 2014, 2021, 2022...",5797.0,8,1.9256,0.41,,0,0
Quero Saber- Dia de Finados e Dia de los Muertos: o que colonizadores e a Igreja Católica tem a ver?,265.0,103,1.9177,1.66,,0,0
Quero saber – O que é a Síndrome de Burnout?,60.0,202,1.9136,0.82,58.33,0,0
9ª Reunião Ordinária do Conselho de Pessoas (CoGePe),9371.0,5,1.9119,0.0,,0,0
"Quero saber – O que aconteceu com o clima no Brasil, nos últimos 60 anos?",346.0,138,1.891,0.64,,0,0
Quero saber - Como é a trajetória do Brasil nos Jogos Paralímpicos?,297.0,48,1.8829,0.39,,0,0
EdUFSCar no Ar #12,4031.0,8,1.8695,3.16,,0,0
274ª Reunião Ordinária do Conselho Universitário | ConsUni UFSCar,11538.0,26,1.8655,4.32,,0,0
17ª Reunião Ordinária do Conselho de Gestão de Pessoas | CoGePe UFSCar,7691.0,17,1.829,1.64,,0,0
2ª Sessão da 1ª Reunião Extraordinária do Conselho de Extensão (CoEx) da UFSCar no ano de 2022,11204.0,8,1.8015,17.65,,0,0
UFSCar de Todos os Povos - Filippo Ghiglieno,230.0,58,1.8004,5.36,,0,0
Quero saber - Por que precisamos de profissionais de Gestão Ambiental?,260.0,67,1.8,2.42,,0,0
Quero saber - Halloween ou Dia do Saci?,60.0,210,1.7949,1.84,67.88,2,0
Biblioteca do Campus Lagoa do Sino ganha acervo de Raduan Nassar,237.0,54,1.7927,4.11,,1,0
270ª Reunião Ordinária  do Conselho Universitário (ConsUni),12706.0,32,1.7865,2.23,,0,0
Retorno total das atividades presenciais na UFSCar,328.0,66,1.7702,5.03,,1,0
