Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações intencionais,Duração média da visualização,Continuaram assistindo (%),Média de visualizações por espectador,Novos espectadores,Espectadores recorrentes,Visualizações,Tempo de exibição (horas),Inscritos,Impressões,Taxa de cliques de impressões (%)
rDsryzPEaTs,Quero saber - Como a medicina define a Síndrome de Burnout?,"Mar 4, 2024",161,62,0:01:06,,,,,62,1.1512,2,1283,1.87
MjBmHzPdYD4,Formatura Campus São Carlos - CCET III - 28/05/2024,,139,66,0:01:01,,,,,66,1.1359,0,6,0
Q30a0ju3ZJ8,Acervos e coleções: do passado na memória a futuros diversos pela pesquisa e formação,"Jun 10, 2021",5704,7,0:09:41,,,,,7,1.1298,1,162,1.85
95zJGdA2Oz0,Depoimento Jéssica Athos - Transformação,"Jan 29, 2024",373,35,0:01:54,,,,,35,1.1143,0,451,3.1
7Fi_QkcW2c8,UFSCar retoma realização presencial da colação de grau,"Feb 9, 2023",216,52,0:01:16,,,,,52,1.1082,0,440,6.14
y8u79IUH3Ts,Quero saber - A ciência já descobriu a fórmula da felicidade?,"Feb 12, 2024",188,42,0:01:34,,,,,42,1.1072,1,655,1.83
WifvYKgsyZE,"Ana Beatriz de Oliveira, Reitora da UFSCar, fala sobre encontro com o Papa Francisco","Sep 22, 2023",60,164,0:00:23,57.52,,,,186,1.0969,1,4157,2.5
nAB93TLk55M,Trilhas da Inovação - Ep.4 – Licenciamento de tecnologias,"Oct 11, 2023",398,35,0:01:51,,,,,35,1.0885,0,308,5.52
DfSPolW7i3A,"Max y sus amigos en: Descubriendo el Mar - Episodio 3 – Viento caliente, lluvia fría","May 8, 2024",750,31,0:02:04,,,,,31,1.0755,0,1111,0.9
FPSGyZiVLgM,Na Pauta #50,"Mar 29, 2022",3610,17,0:03:45,,,,,17,1.0661,0,37,10.81
DKCLod14dEw,Os estudantes da UFSCar precisam da sua ajuda!,"Jun 9, 2022",303,45,0:01:22,,,,,45,1.0308,0,638,4.7
e_3dQa2R2Fk,Ricardo Cerri,"Jan 25, 2023",393,46,0:01:20,,,,,46,1.0288,0,149,9.4
